city_id,agent_normalized,agent_display,matched,phone,website,address,source,confidence_note
bangalore,27 estates,27 Estates,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,4 m realty,4 M Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,4 walls realty,4 Walls Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,a m,A M,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,abdul majeed nasir,Abdul Majeed Nasir,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,acua realtor,Acua Realtor,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,adrez advisors private limited,Adrez Advisors Private Limited,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,advik media and reality,Advik Media And Reality,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,agarwal estates,Agarwal Estates,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,agarwal realty and investment,Agarwal Realty And Investment,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,ahujaa realtors,Ahujaa Realtors,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,ak prime heritage,AK Prime Heritage,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,akash k,AKASH K,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,akram,Akram,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,akshaya wealth management pvt ltd,Akshaya Wealth Management Pvt Ltd,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,amazon prime properties,Amazon Prime Properties,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,ambit realty,Ambit Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,amrutha rama constructions pvt. ltd.,Amrutha Rama Constructions Pvt. Ltd.,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,amrutha shelters pvt. ltd.,Amrutha Shelters Pvt. Ltd.,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,animesh sahni & co,Animesh Sahni & Co,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,aol realty,AOL Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,apple realty,Apple Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,arbin,Arbin,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,arvind vijay,Arvind Vijay,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,aryan landmarks,Aryan Landmarks,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,aryan ventures,Aryan Ventures,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,as properties,AS Properties,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,assetz property group,Assetz Property Group,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,aureus realtors,Aureus Realtors,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,avenuez re solutions,Avenuez RE Solutions,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,avish reddy,Avish Reddy,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,azgar ali,Azgar Ali,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,bangalore assetz,Bangalore Assetz,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,bangalore homez,Bangalore Homez,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,bangalore house,Bangalore House,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,best home reality,Best Home Reality,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,bharath ks,BHARATH KS,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,blr properties,BLR Properties,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,blueco realty,Blueco Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,brick and floor pvt ltd,Brick And Floor Pvt Ltd,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,bright properties,Bright Properties,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,capital realty,Capital Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,capitol consultants,Capitol Consultants,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,casagrand builder pvt. ltd.,Casagrand Builder Pvt. Ltd.,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,castle & nest realty,Castle & Nest Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,cbre south asia pvt ltd.,CBRE South Asia Pvt Ltd.,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,chalukya realty pvt. ltd.,Chalukya Realty Pvt. Ltd.,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,chandrasekhar reddy,Chandrasekhar Reddy,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,chethan,Chethan,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,city blocks,City Blocks,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,classic estate agency,Classic Estate Agency,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,coldwell banker value add realty,Coldwell Banker Value Add Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,crystal homes,Crystal Homes,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,cubic feet realty,Cubic Feet Realty,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,cyrus estates,Cyrus Estates,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,daulaths estate,Daulaths Estate,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,deepak,Deepak,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,dhn realtors,DHN Realtors,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,dinesh,Dinesh,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,dishahabitat projects llp,Dishahabitat Projects LLP,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
bangalore,dreamloft estate,Dreamloft Estate,0,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
