city_id,corridor,agent_display,agent_normalized,phone,company,listing_count,broker_activity_score
pune,Kharadi,Sai Realtors,sai realtors,,,2,9.8
pune,Baner,Sai Realtors,sai realtors,,,2,9.8
pune,Baner,Blue Square Realty,blue square realty,,,2,9.8
pune,Viman Nagar,Property Bay,property bay,,,2,9.8
pune,Viman Nagar,Yash Properties,yash properties,,,2,9.8
pune,Viman Nagar,Sneha Property,sneha property,,,2,9.8
pune,Viman Nagar,National Properties,national properties,,,2,9.8
pune,Viman Nagar,Sai Realtors,sai realtors,,,2,9.8
pune,Balewadi,Sai Realtors,sai realtors,,,2,9.8
pune,Balewadi,Property Plan It,property plan it,,,2,9.8
pune,Hinjewadi,Navnit Aditya,navnit aditya,,,1,4.8
pune,Wakad,Dream Home Real Estate Consultancy,dream home real estate consultancy,,,1,4.8
pune,Wakad,Shubham,shubham,,,1,4.8
pune,Wakad,Premium Plus Properties,premium plus properties,,,1,4.8
pune,Wakad,Lexis Realty,lexis realty,,,1,4.8
pune,Wakad,Foresight Properties,foresight properties,,,1,4.8
pune,Wakad,Property For Sale Pune Dotcom,property for sale pune dotcom,,,1,4.8
pune,Wakad,Prowave Consultants,prowave consultants,,,1,4.8
pune,Wakad,Associate,associate,,,1,4.8
pune,Wakad,Abhay Rathod,abhay rathod,,,1,4.8
pune,Wakad,Sharma Enterprises,sharma enterprises,,,1,4.8
pune,Wakad,Awanish Singh,awanish singh,,,1,4.8
pune,Wakad,The Resale Corner,the resale corner,,,1,4.8
pune,Wakad,Shree Krishna Properties,shree krishna properties,,,1,4.8
pune,Wakad,Lifestyle Estates,lifestyle estates,,,1,4.8
pune,Kharadi,JSK Realtors,jsk realtors,,,1,4.8
pune,Kharadi,Pride Realty,pride realty,,,1,4.8
pune,Kharadi,Prathmesh Properties,prathmesh properties,,,1,4.8
pune,Kharadi,Mahindra Lifespace Developers Ltd.,mahindra lifespace developers ltd.,,,1,4.8
pune,Kharadi,Pal Realty Ventures Pvt Ltd,pal realty ventures pvt ltd,,,1,4.8
pune,Kharadi,"Ocean Konnect, Property Consultants","ocean konnect, property consultants",,,1,4.8
pune,Kharadi,Royal Realty,royal realty,,,1,4.8
pune,Kharadi,Milestone Properties,milestone properties,,,1,4.8
pune,Kharadi,Poona Properties Adviser,poona properties adviser,,,1,4.8
pune,Kharadi,Saturn Asset World LLP,saturn asset world llp,,,1,4.8
pune,Kharadi,Tej Properties,tej properties,,,1,4.8
pune,Kharadi,Pune Infra,pune infra,,,1,4.8
pune,Kharadi,Royal Star Properties,royal star properties,,,1,4.8
pune,Kharadi,RK Realty Solutions,rk realty solutions,,,1,4.8
pune,Kharadi,Property Experts,property experts,,,1,4.8
pune,Kharadi,Four Pillars,four pillars,,,1,4.8
pune,Kharadi,Honey Realtors,honey realtors,,,1,4.8
pune,Kharadi,PROP-G REALTY,prop-g realty,,,1,4.8
pune,Kharadi,M S Real Estate Consultants,m s real estate consultants,,,1,4.8
pune,Kharadi,Prop India,prop india,,,1,4.8
pune,Kharadi,Welcome Realty,welcome realty,,,1,4.8
pune,Kharadi,Sachan Property,sachan property,,,1,4.8
pune,Kharadi,Realty Roof,realty roof,,,1,4.8
pune,Kharadi,Marvel Properties,marvel properties,,,1,4.8
pune,Kharadi,Pramila,pramila,,,1,4.8
pune,Kharadi,Saifahmed Faizahmed Bhayani,saifahmed faizahmed bhayani,,,1,4.8
pune,Kharadi,PROPSERVE VENTURES LLP,propserve ventures llp,,,1,4.8
pune,Kharadi,Propland Advisor,propland advisor,,,1,4.8
pune,Kharadi,Savi Buildcon,savi buildcon,,,1,4.8
pune,Kharadi,Vighnaharta Properties,vighnaharta properties,,,1,4.8
pune,Kharadi,Property Dot Com,property dot com,,,1,4.8
pune,Kharadi,Kharadi Real Estate,kharadi real estate,,,1,4.8
pune,Kharadi,Brixton Homes,brixton homes,,,1,4.8
pune,Kharadi,National Properties,national properties,,,1,4.8
pune,Kharadi,Gaurav Properties And Investment Consultants,gaurav properties and investment consultants,,,1,4.8
pune,Kharadi,Amigos Estate,amigos estate,,,1,4.8
pune,Kharadi,Anuj Mishra,anuj mishra,,,1,4.8
pune,Kharadi,A K Properties,a k properties,,,1,4.8
pune,Kharadi,Clear Deals Property,clear deals property,,,1,4.8
pune,Kharadi,True Star Realty,true star realty,,,1,4.8
pune,Kharadi,B Square Realty,b square realty,,,1,4.8
pune,Kharadi,Kargil Properties,kargil properties,,,1,4.8
pune,Kharadi,Lakshsiddh Ventures Pvt. Ltd,lakshsiddh ventures pvt. ltd,,,1,4.8
pune,Kharadi,Prop Biz Advisors Pvt. Ltd,prop biz advisors pvt. ltd,,,1,4.8
pune,Kharadi,A B Propbricks,a b propbricks,,,1,4.8
pune,Kharadi,Realty Check,realty check,,,1,4.8
pune,Kharadi,Shah Properties,shah properties,,,1,4.8
pune,Kharadi,Harsh Enterprises,harsh enterprises,,,1,4.8
pune,Kharadi,Reliable Estates,reliable estates,,,1,4.8
pune,Kharadi,Om Real Estate,om real estate,,,1,4.8
pune,Kharadi,Pune Shelters,pune shelters,,,1,4.8
pune,Kharadi,Pune Property Investor,pune property investor,,,1,4.8
pune,Kharadi,Vidhyapurna Properties,vidhyapurna properties,,,1,4.8
pune,Kharadi,EON Properties,eon properties,,,1,4.8
pune,Kharadi,Samir Chopra,samir chopra,,,1,4.8
pune,Kharadi,Pride And Property,pride and property,,,1,4.8
pune,Kharadi,Ayansh Broker Club LLP,ayansh broker club llp,,,1,4.8
pune,Kharadi,Hiranandani Properties,hiranandani properties,,,1,4.8
pune,Kharadi,Om Sai Enterprises,om sai enterprises,,,1,4.8
pune,Baner,Prop Keepers,prop keepers,,,1,4.8
pune,Baner,National Properties,national properties,,,1,4.8
pune,Baner,Avenue Homes & Properties,avenue homes & properties,,,1,4.8
pune,Baner,No To Brokerage,no to brokerage,,,1,4.8
