city_id,corridor,society_normalized,society_display,matched,official_url,unit_count,possession_status,rera_number,sales_contact,project_description,source,confidence_note
pune,Ambegaon,amit astonia royale,Amit Astonia Royale,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Ambegaon,amits bloomfield phase lll j and k building,Amits Bloomfield Phase lll J And K Building,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Ambegaon,kool homes panchamrut,Kool Homes Panchamrut,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Balewadi,anp atlantis,ANP Atlantis,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Balewadi,gini viviana,Gini Viviana,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Balewadi,majestique signature towers,Majestique Signature Towers,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Balewadi,mantra meridian,Mantra Meridian,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Balewadi,naiknavare avon vista,Naiknavare Avon Vista,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Balewadi,paritosh,Paritosh,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Balewadi,shagun perfect 10,Shagun Perfect 10,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Baner,achal leela darshan,Achal Leela Darshan,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Baner,rachana bella casa ii,Rachana Bella Casa II,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Baner,regency astra,Regency Astra,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Baner,saarrthi souvenir,Saarrthi Souvenir,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Baner,welworth paradise,Welworth Paradise,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Hadapsar,sai leisure town,Sai Leisure Town,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Hinjewadi,godrej 24,Godrej 24,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Hinjewadi,godrej elements,Godrej Elements,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Hinjewadi,kolte patil life republic,Kolte Patil Life Republic,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Hinjewadi,megapolis sangria towers,Megapolis Sangria Towers,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,duville riverdale heights,Duville Riverdale Heights,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,gera planet of joy,Gera Planet Of Joy,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,gera world of joy,Gera World of Joy,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,gulmohar goldcoast,Gulmohar Goldcoast,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,kohinoor zen estate,Kohinoor Zen Estate,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,nyati elysia,Nyati Elysia,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,unique youtopia,Unique Youtopia,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Kharadi,vilas javdekar yashwin orizzonte,Vilas Javdekar Yashwin Orizzonte,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
pune,Magarpatta Road,godrej infinity,Godrej Infinity,0,,,,,,,,"GOOGLE_MAPS_API_KEY not set, lookup skipped"
