city_id,corridor,society_display,society_normalized,supply_depth,resale_velocity_days,price_consistency_cov,rating,review_count,rating_available,society_fit_score,appears_in_corridors,candidate_count,candidate_listing_ids
pune,Hinjewadi,Godrej Elements,godrej elements,8,0.0,0.1314,,,0,8.5,Hinjewadi,0,
pune,Kharadi,Gera World of Joy,gera world of joy,6,0.5,0.0777,,,0,8.4,Kharadi,0,
pune,Hinjewadi,Godrej 24,godrej 24,17,0.0,0.1773,,,0,8.3,Hinjewadi,0,
pune,Kharadi,Duville Riverdale Heights,duville riverdale heights,6,0.7,0.2062,,,0,6.9,Kharadi,0,
pune,Kharadi,Nyati Elysia,nyati elysia,3,0.3,0.0455,,,0,6.7,Kharadi,0,
pune,Viman Nagar,Rohan Mithila,rohan mithila,8,2.0,0.2097,,,0,6.7,Viman Nagar,0,
pune,Baner,Welworth Paradise,welworth paradise,4,3.0,0.0282,,,0,6.6,Baner,0,
pune,Kharadi,Vilas Javdekar Yashwin Orizzonte,vilas javdekar yashwin orizzonte,6,4.5,0.0862,,,0,6.4,Kharadi,0,
pune,Kharadi,Gulmohar Goldcoast,gulmohar goldcoast,3,1.0,0.0123,,,0,6.4,Kharadi,0,
pune,Viman Nagar,Riddhi Tower,riddhi tower,5,4.0,0.0625,,,0,6.4,Viman Nagar,0,
pune,Kharadi,Gera Planet Of Joy,gera planet of joy,7,18.1,0.0423,,,0,6.1,Kharadi,1,1407
pune,Hadapsar,Sai Leisure Town,sai leisure town,3,1.0,0.0619,,,0,6.1,Hadapsar,0,
pune,Magarpatta Road,Godrej Infinity,godrej infinity,4,1.0,0.1752,,,0,6.1,Magarpatta Road,0,
pune,Viman Nagar,Lunkad Colonnade I,lunkad colonnade i,7,4.3,0.1726,,,0,5.9,Viman Nagar,0,
pune,Undri,Godrej Horizon,godrej horizon,4,3.0,0.1232,,,0,5.7,Undri,0,
pune,Wakad,Aum Sanskruti Casa Imperia,aum sanskruti casa imperia,4,3.0,0.1306,,,0,5.6,Wakad,0,
pune,Baner,Regency Astra,regency astra,7,12.9,0.1289,,,0,5.6,Baner,0,
pune,Baner,Achal Leela Darshan,achal leela darshan,3,3.0,0.0,,,0,5.6,Baner,0,
pune,Balewadi,Naiknavare Avon Vista,naiknavare avon vista,12,15.8,0.1669,,,0,5.6,Balewadi,0,
pune,Kharadi,Kohinoor Zen Estate,kohinoor zen estate,9,10.4,0.176,,,0,5.5,Kharadi,0,
pune,Balewadi,Majestique Signature Towers,majestique signature towers,4,4.8,0.0752,,,0,5.4,Balewadi,1,2487
pune,Viman Nagar,Aswani Rose Garden,aswani rose garden,6,8.3,0.1756,,,0,5.2,Viman Nagar,0,
pune,Viman Nagar,Lalwani Vastu,lalwani vastu,5,3.6,0.1889,,,0,5.1,Viman Nagar,0,
pune,Wakad,Siddhashila Treasure Trove,siddhashila treasure trove,3,1.0,0.1684,,,0,5.0,Wakad,0,
pune,Balewadi,Shagun Perfect 10,shagun perfect 10,5,21.0,0.0701,,,0,5.0,Balewadi,0,
pune,Balewadi,ANP Atlantis,anp atlantis,5,16.8,0.0912,,,0,5.0,Balewadi,0,
pune,Balewadi,Mantra Meridian,mantra meridian,5,13.4,0.1164,,,0,4.9,Balewadi,0,
pune,Wakad,Sanskriti,sanskriti,3,3.0,0.0946,,,0,4.8,Wakad,0,
pune,Magarpatta Road,Konark Krish,konark krish,3,3.0,0.1025,,,0,4.7,Magarpatta Road,0,
pune,Viman Nagar,Oxy Beaumonde,oxy beaumonde,3,3.3,0.0954,,,0,4.5,Viman Nagar,0,
pune,Wakad,Sukhwani Skylines,sukhwani skylines,3,0.7,0.2602,,,0,4.4,Wakad,0,
pune,Kharadi,Unique Youtopia,unique youtopia,3,1.3,0.1781,,,0,4.4,Kharadi,0,
pune,Baner,Saarrthi Souvenir,saarrthi souvenir,3,1.0,0.2226,,,0,4.3,Baner,0,
pune,Ambegaon,Amit Astonia Royale,amit astonia royale,6,9.8,0.2616,,,0,4.3,Ambegaon,0,
pune,Hinjewadi,Megapolis Sangria Towers,megapolis sangria towers,4,3.0,0.3057,,,0,4.2,Hinjewadi,0,
pune,Wakad,Vilas Javdekar Yashwin Encore,vilas javdekar yashwin encore,6,16.0,0.1953,,,0,4.2,Wakad,0,
pune,Undri,Kumar Princetown,kumar princetown,3,10.0,0.0691,,,0,4.1,Undri,0,
pune,Hinjewadi,Kolte Patil Life Republic,kolte patil life republic,3,3.7,0.1239,,,0,4.0,Hinjewadi,0,
pune,Wakad,VTP Hilife,vtp hilife,3,2.0,0.2194,,,0,3.9,Wakad,0,
pune,Magarpatta Road,Sancheti Associates Belcastel,sancheti associates belcastel,3,2.0,0.2332,,,0,3.8,Magarpatta Road,0,
pune,Ambegaon,Kool Homes Panchamrut,kool homes panchamrut,4,27.5,0.1068,,,0,3.8,Ambegaon,0,
pune,Balewadi,Gini Viviana,gini viviana,4,17.5,0.1585,,,0,3.7,Balewadi,0,
pune,Undri,38 Park Majestique,38 park majestique,4,11.0,0.1818,,,0,3.7,Undri,0,
pune,Wakad,Maxima Apartments,maxima,3,2.3,0.2887,,,0,3.4,Wakad,0,
pune,Wakad,Vilas Javdekar Yashwin Supernova,vilas javdekar yashwin supernova,3,30.0,0.0707,,,0,3.0,Wakad,0,
pune,Undri,Wateridge,wateridge,3,4.0,0.2055,,,0,3.0,Undri,0,
pune,Baner,Rachana Bella Casa II,rachana bella casa ii,3,21.0,0.114,,,0,2.7,Baner,0,
pune,Balewadi,Paritosh,paritosh,3,8.3,0.2703,,,0,2.2,Balewadi,0,
pune,Ambegaon,Amits Bloomfield Phase lll J And K Building,amits bloomfield phase lll j and k building,4,46.8,0.2477,,,0,2.2,Ambegaon,1,2676
pune,Wakad,The Address Residential,the address residential,3,40.0,0.1676,,,0,2.0,Wakad,0,
mumbai,Mulund,Highland Park,highland park,7,1.9,0.2198,,,0,7.0,Mulund,0,
mumbai,Malad,Gurukrupa Marina Enclave,gurukrupa marina enclave,5,2.4,0.0899,,,0,6.6,Malad,0,
mumbai,Malad,Kamanwala Manavsthal,kamanwala manavsthal,3,1.0,0.0,,,0,6.6,Malad,0,
mumbai,Borivali,Ariana Residency,ariana residency,6,5.0,0.0588,,,0,6.5,Borivali,1,3806
mumbai,Powai,Sapphire Lakeside,sapphire lakeside,5,10.8,0.0531,,,0,6.0,Powai,0,
mumbai,Chembur,Spenta Altavista,spenta altavista,3,1.0,0.0542,,,0,5.9,Chembur,0,
mumbai,Kandivali,Parinee Essence,parinee essence,6,17.5,0.1572,,,0,4.5,Kandivali,0,
mumbai,Goregaon,Royal Palms,royal palms,4,3.0,0.1998,,,0,4.4,Goregaon,0,
mumbai,Powai,Raheja Vihar,raheja vihar,4,3.0,0.2425,,,0,3.9,Powai,0,
mumbai,Goregaon,Chandak 34 Park Estate,chandak 34 park estate,3,15.3,0.0237,,,0,3.5,Goregaon,0,
mumbai,Kandivali,Ruparel Sky Greens,ruparel sky greens,4,20.5,0.1447,,,0,2.8,Kandivali,0,
mumbai,Kandivali,Ruparel Optima,ruparel optima,3,11.3,0.1932,,,0,2.2,Kandivali,0,
bangalore,Yelahanka,Bhartiya Garden Estate,bhartiya garden estate,4,1.0,0.0145,,,0,8.4,Yelahanka,0,
bangalore,Hebbal,Karle Town Centre,karle town centre,6,4.0,0.0823,,,0,8.0,Hebbal,1,6518
bangalore,Koramangala,Mantri Classic,mantri classic,4,4.0,0.063,,,0,7.3,Koramangala,0,
bangalore,Yelahanka,Arvind Bel Air,arvind bel air,5,7.0,0.1003,,,0,6.9,Yelahanka,0,
bangalore,Yelahanka,Ajmera Lugaano,ajmera lugaano,3,1.3,0.0438,,,0,6.6,Yelahanka,0,
bangalore,Marathahalli,Rohan Vasantha,rohan vasantha,3,4.0,0.0,,,0,6.4,Marathahalli,0,
bangalore,Marathahalli,Prestige Sunnyside Oak,prestige sunnyside oak,3,4.0,0.0271,,,0,6.2,Marathahalli,0,
bangalore,Yelahanka,Mjr North Park,mjr north park,4,2.0,0.2065,,,0,6.0,Yelahanka,0,
bangalore,Electronic City,Gm Infinite E City Town,gm infinite e city town,4,14.8,0.0673,,,0,5.7,Electronic City,0,
bangalore,Sarjapur,Eden Park At The Prestige City,eden park at the prestige city,36,14.3,0.2205,,,0,5.6,Sarjapur,0,
bangalore,Marathahalli,Saptagiri Sannidhi,saptagiri sannidhi,4,16.0,0.0873,,,0,5.3,Marathahalli,0,
bangalore,Electronic City,Gm Global Techies Town Electronics City Phase 1,gm global techies town electronics city,7,16.6,0.1572,,,0,5.1,Electronic City,0,
bangalore,Yelahanka,Mahaveer Celesse Yelahanka Air Force Base,mahaveer celesse yelahanka air force base,4,13.0,0.151,,,0,5.0,Yelahanka,0,
bangalore,HSR Layout,Abhee Riviera Royale,abhee riviera royale,17,18.7,0.1219,,,0,4.9,HSR Layout,0,
bangalore,Whitefield,Provident Capella,provident capella,5,18.6,0.1145,,,0,4.8,Whitefield,0,
bangalore,Marathahalli,Alpine Eco,alpine eco,3,11.3,0.1083,,,0,4.5,Marathahalli,0,
bangalore,Sarjapur,Eden Park At The Prestige City Infosys Head Quater,eden park at the prestige city infosys head quater,3,1.7,0.3239,,,0,4.4,Sarjapur,0,
